profile,rank,symbol,score,close,passed,component_momentum,component_trend,component_volume_surge,filter_reasons,component_proximity
momentum_screen,1.0,MSFT,0.7418,493.78,True,1.0,0.6392,0.2501,"liquidity: passed LiquidityFilter: avg dollar volume 10,491,789,876 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 493.78 within [5.00, +inf]; trend: passed TrendFilter: close 493.78 is above 50-day MA 464.68 (required above), 50-day MA rising (441.23 -> 464.68, required rising); momentum: passed MomentumFilter: 63-day return +30.15% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 39,544,100 is 1.97x its 20-day avg 20,073,780 (required >= 1.00x)",
momentum_screen,2.0,META,0.5065,665.75,True,0.3992,1.0,0.0343,"liquidity: passed LiquidityFilter: avg dollar volume 11,583,806,047 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 665.75 within [5.00, +inf]; trend: passed TrendFilter: close 665.75 is above 50-day MA 607.38 (required above), 50-day MA rising (594.01 -> 607.38, required rising); momentum: passed MomentumFilter: 63-day return +15.34% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 27,548,000 is 1.53x its 20-day avg 17,992,245 (required >= 1.00x)",
momentum_screen,3.0,AAPL,0.3613,336.13,True,0.2959,0.5026,0.3129,"liquidity: passed LiquidityFilter: avg dollar volume 14,066,645,514 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 336.13 within [5.00, +inf]; trend: passed TrendFilter: close 336.13 is above 50-day MA 320.14 (required above), 50-day MA rising (314.25 -> 320.14, required rising); momentum: passed MomentumFilter: 63-day return +12.79% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 86,433,100 is 2.10x its 20-day avg 41,201,805 (required >= 1.00x)",
momentum_screen,4.0,V,0.343,368.29,True,0.2859,0.0,1.0,"liquidity: passed LiquidityFilter: avg dollar volume 2,349,801,585 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 368.29 within [5.00, +inf]; trend: passed TrendFilter: close 368.29 is above 50-day MA 367.08 (required above), 50-day MA rising (362.30 -> 367.08, required rising); momentum: passed MomentumFilter: 63-day return +12.54% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 19,569,700 is 3.50x its 20-day avg 5,598,810 (required >= 1.00x)",
momentum_screen,5.0,NVDA,0.11,222.27,True,0.0,0.3667,0.0,"liquidity: passed LiquidityFilter: avg dollar volume 29,564,670,877 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 222.27 within [5.00, +inf]; trend: passed TrendFilter: close 222.27 is above 50-day MA 214.27 (required above), 50-day MA rising (209.87 -> 214.27, required rising); momentum: passed MomentumFilter: 63-day return +5.50% (above threshold +3.00%); volume_surge: passed VolumeSurgeFilter: volume 189,683,500 is 1.46x its 20-day avg 129,808,870 (required >= 1.00x)",
pullback_screen,1.0,MSFT,0.9459,493.78,True,0.8456,1.0,,"liquidity: passed LiquidityFilter: avg dollar volume 10,491,789,876 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 493.78 within [5.00, +inf]; trend: passed TrendFilter: close 493.78 is above 200-day MA 431.60 (required above); momentum: passed MomentumFilter: 10-day return -3.20% (below threshold +0.00%); proximity: passed ProximityFilter: close 493.78 is 0.75% below SMA20 497.51 (band 3.00%, side any)",1.0
pullback_screen,2.0,JPM,0.6189,349.67,True,1.0,0.3976,,"liquidity: passed LiquidityFilter: avg dollar volume 2,449,780,581 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 349.67 within [5.00, +inf]; trend: passed TrendFilter: close 349.67 is above 200-day MA 320.54 (required above); momentum: passed MomentumFilter: 10-day return -3.42% (below threshold +0.00%); proximity: passed ProximityFilter: close 349.67 is 1.35% below SMA20 354.47 (band 3.00%, side any)",0.4238
pullback_screen,3.0,NVDA,0.4512,222.27,True,0.4942,0.7323,,"liquidity: passed LiquidityFilter: avg dollar volume 29,564,670,877 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 222.27 within [5.00, +inf]; trend: passed TrendFilter: close 222.27 is above 200-day MA 198.38 (required above); momentum: passed MomentumFilter: 10-day return -2.71% (below threshold +0.00%); proximity: passed ProximityFilter: close 222.27 is 1.55% above SMA20 218.88 (band 3.00%, side any)",0.2379
pullback_screen,4.0,AMZN,0.3251,253.71,True,0.0,0.0,,"liquidity: passed LiquidityFilter: avg dollar volume 8,418,934,610 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 253.71 within [5.00, +inf]; trend: passed TrendFilter: close 253.71 is above 200-day MA 240.30 (required above); momentum: passed MomentumFilter: 10-day return -2.00% (below threshold +0.00%); proximity: passed ProximityFilter: close 253.71 is 0.95% below SMA20 256.13 (band 3.00%, side any)",0.8128
pullback_screen,5.0,V,0.3016,368.29,True,0.5341,0.4588,,"liquidity: passed LiquidityFilter: avg dollar volume 2,349,801,585 over 20d >= min 10,000,000; price_range: passed PriceRangeFilter: close 368.29 within [5.00, +inf]; trend: passed TrendFilter: close 368.29 is above 200-day MA 335.94 (required above); momentum: passed MomentumFilter: 10-day return -2.76% (below threshold +0.00%); proximity: passed ProximityFilter: close 368.29 is 1.80% below SMA20 375.04 (band 3.00%, side any)",0.0
